Customer_ID,Customer_Name,Invoice_Number,Invoice_Date,Due_Date,Invoice_Amount,Amount_Paid,Outstanding_Balance,Days_Outstanding,Status,Cost_Center,Region
CUST001,Woolworths Group Ltd,INV-2026-0334,2026-04-05,2026-04-05,1245000.00,1245000.00,0.00,0,Paid,NSW,New South Wales
CUST002,Coles Group Ltd,INV-2026-0335,2026-04-06,2026-04-06,987500.00,987500.00,0.00,0,Paid,VIC,Victoria
CUST003,Wesfarmers Ltd,INV-2026-0336,2026-04-07,2026-04-07,1567800.00,1567800.00,0.00,0,Paid,WA,Western Australia
CUST004,BHP Group,INV-2026-0337,2026-04-08,2026-04-08,2345000.00,2345000.00,0.00,0,Paid,VIC,Victoria
CUST005,Commonwealth Bank,INV-2026-0338,2026-04-09,2026-04-09,876500.00,876500.00,0.00,0,Paid,NSW,New South Wales
CUST006,Telstra Corporation,INV-2026-0339,2026-04-10,2026-04-10,1234500.00,1234500.00,0.00,0,Paid,VIC,Victoria
CUST007,Rio Tinto,INV-2026-0340,2026-04-11,2026-04-11,1987600.00,1987600.00,0.00,0,Paid,WA,Western Australia
CUST008,Westpac Banking Corp,INV-2026-0341,2026-04-12,2026-04-12,765400.00,765400.00,0.00,0,Paid,NSW,New South Wales
CUST009,ANZ Banking Group,INV-2026-0342,2026-04-13,2026-04-13,654300.00,654300.00,0.00,0,Paid,VIC,Victoria
CUST010,National Australia Bank,INV-2026-0343,2026-04-14,2026-04-14,543200.00,543200.00,0.00,0,Paid,VIC,Victoria
CUST011,Qantas Airways,INV-2026-0344,2026-04-15,2026-04-15,432100.00,432100.00,0.00,0,Paid,NSW,New South Wales
CUST012,Woodside Energy,INV-2026-0345,2026-04-16,2026-04-16,876500.00,876500.00,0.00,0,Paid,WA,Western Australia
CUST013,Fortescue Metals,INV-2026-0346,2026-04-17,2026-04-17,1234500.00,1234500.00,0.00,0,Paid,WA,Western Australia
CUST014,Macquarie Group,INV-2026-0347,2026-04-18,2026-04-18,567800.00,567800.00,0.00,0,Paid,NSW,New South Wales
CUST015,CSL Limited,INV-2026-0348,2026-04-19,2026-04-19,987600.00,987600.00,0.00,0,Paid,VIC,Victoria
CUST016,Transurban Group,INV-2026-0349,2026-04-20,2026-04-20,345600.00,345600.00,0.00,0,Paid,VIC,Victoria
CUST017,Scentre Group,INV-2026-0350,2026-04-21,2026-04-21,234500.00,234500.00,0.00,0,Paid,NSW,New South Wales
