Demo_Task,Fiscal_Period,Employee_ID,Business_Unit,Department,Role,Entity,Cost_Center,Cost_Center_Name,Salary_AUD,Overtime_AUD,Benefits_AUD,Contractor_Cost_AUD,Total_Workforce_Cost_AUD,Hours_Worked,Utilisation_Percent,Output_Metric,Output_Volume,Revenue_or_Value_Supported_AUD,Labour_Cost_Per_Output,Performance_Rating,Risk_Flag,Recommended_Action,Linked_GL_Txn_ID,Source_File_Target
"IBM BOB 2 - Workforce",2026-03,EMP3762,FP&A,FP&A,"Customer Service Lead",AUS01,SA,"South Australia Operations",16458.97,718.38,2819.17,4888.61,24885.13,123.2,84.5,forecast_models,145,51977.86,171.62,High,"Contractor dependency","Review allocation / approve exception",TXN005209,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP8116,FP&A,FP&A,"Data Engineer",FJI01,HR,"Human Resources",14878.89,807.91,1497.24,0.00,17184.04,123.5,77.7,forecast_models,53,183599.67,324.23,High,None,"No action",TXN005210,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP5935,"Customer Care","Customer Care","Finance Analyst",AUS01,SA,"South Australia Operations",8038.00,1954.77,708.81,9700.97,20402.54,151.8,96.5,cases_resolved,116,45709.32,175.88,Low,"High overtime","Review allocation / approve exception",TXN005211,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP6949,Finance,Finance,"Inventory Coordinator",AUS01,OPS,"Operations & Logistics",8263.70,22.72,1120.28,0.00,9406.71,178.3,56.3,close_tasks,145,168220.81,64.87,Low,None,"No action",TXN005212,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP3361,IT,IT,"Procurement Specialist",AUS01,TAS,"Tasmania Operations",12645.65,507.38,1166.87,0.00,14319.89,169.9,55.5,tickets_resolved,116,203498.44,123.45,High,"Low utilisation high cost","Review allocation / approve exception",TXN005213,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP7600,IT,IT,"Customer Service Lead",AUS01,VIC,"Victoria Operations",6586.14,7.61,669.62,0.00,7263.37,140.5,61.9,tickets_resolved,70,40601.52,103.76,High,None,"No action",TXN005214,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP1514,Sales,Sales,"Customer Service Lead",AUS01,FIN,"Finance & Accounting",17173.08,1098.29,2712.64,6138.88,27122.89,148.9,60.2,deals_supported,90,160646.73,301.37,High,"Low utilisation high cost","Review allocation / approve exception",TXN005215,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP3401,Finance,Finance,"Finance Analyst",AUS01,VIC,"Victoria Operations",15295.41,650.44,2662.06,10264.13,28872.04,160.1,75.9,close_tasks,80,191623.84,360.90,Medium,"Contractor dependency","Review allocation / approve exception",TXN005216,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP4010,Commercial,Commercial,"Revenue Analyst",AUS01,FIN,"Finance & Accounting",17288.71,1472.31,2797.95,0.00,21558.97,171.9,76.7,revenue_cases,140,398842.08,153.99,Low,None,"No action",TXN005217,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP9931,"Customer Care","Customer Care","Finance Analyst",AUS01,IT,"Information Technology",14619.80,784.06,2206.47,0.00,17610.33,129.7,93.6,cases_resolved,192,127663.59,91.72,High,None,"No action",TXN005218,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
