token,type,description,amount,created_at,fiscal_period,entity,status,decision,processed_at,metadata_summary
2968b8e9-4e37-4d06-8271-b82eef2a8b24,Missing Cost Center,Transaction TXN000546: Payment for goods,9959.13,2026-04-29T14:09:08.527533,2026-04-$2,AUS01,APPROVED,approved,2026-04-29T14:10:33.952170,txn:TXN000546
2d7c9d87-0d37-441c-9eea-88b5f439ebb8,Missing Cost Center,Transaction TXN000633: Payment for subscription,36128.34,2026-04-29T14:09:08.528449,2026-04-$2,AUS01,APPROVED,approved,2026-04-29T14:10:33.953172,txn:TXN000633
38908cf7-8185-49f2-bfd4-dfaa4f42cebd,Missing Cost Center,Transaction TXN000734: Payment for subscription,28103.67,2026-04-29T14:09:08.529450,2026-04-$2,AUS01,APPROVED,approved,2026-04-29T14:10:33.954170,txn:TXN000734
66b916af-4d92-48c1-aa0c-0c499a8fb879,Missing Cost Center,Transaction TXN000772: Payment for license,27869.35,2026-04-29T14:09:08.529450,2026-04-$2,AUS01,APPROVED,approved,2026-04-29T14:10:33.955170,txn:TXN000772
dae15afb-d956-43e4-9c2a-96dffb21b6bf,Missing Cost Center,Transaction TXN000971: Payment for goods,31010.55,2026-04-29T14:09:08.530455,2026-04-$2,AUS01,APPROVED,approved,2026-04-29T14:10:33.955170,txn:TXN000971
13865557-2b29-40ef-b6cd-2c8178439059,AR Variance Correction,"Journal entry to correct $-886,844.11 AR/GL variance",886844.1099999994,2026-04-29T14:09:08.572066,2026-04-$2,AUS01,APPROVED,approved,2026-04-29T14:10:33.956170,
073c9272-18de-4ad9-83db-e05841560aae,Intercompany Variance,AUS01 ↔ UK01 - FX translation difference + Duplicate posting,257250.0,2026-04-29T14:09:08.575017,2026-04-$2,AUS01,APPROVED,approved,2026-04-29T14:10:33.956170,
2866109b-1dfd-4f86-b9f5-8b9a0aeeaafb,Intercompany Variance,UK01 ↔ AUS01 - Wrong counterparty code - should be SGP01 not AUS01,156000.0,2026-04-29T14:09:08.575017,2026-04-$2,AUS01,APPROVED,approved,2026-04-29T14:10:33.957171,
f2d360b0-bf34-488d-b24a-1034a70b3ad0,Intercompany Variance,UK01 ↔ SGP01 - Wrong counterparty + Partial settlement timing,156000.0,2026-04-29T14:09:08.575976,2026-04-$2,AUS01,APPROVED,approved,2026-04-29T14:10:33.958171,
162e3eba-e1e5-4379-b2e5-c884ffc8b3ba,Missing Cost Center,Transaction TXN000546: Payment for goods,9959.13,2026-04-29T14:10:24.049424,2026-04-$2,AUS01,APPROVED,approved,2026-04-29T14:10:33.958171,txn:TXN000546
